cache,context,kv_allocated_bytes,median_ms,p10_ms,p90_ms,attention_key_len,mask_passed,kv_expanded,kv_bytes
dynamic,517,11911680,8.3019579979009,8.010871207807213,8.562625000195112,568,False,False,11911680
dynamic,1029,23708160,8.525375502358656,8.309274700877722,8.671283703006338,1080,False,False,23708160
dynamic,2053,47301120,8.92497899621958,8.748796096188016,9.061695804120973,2104,False,False,47301120
dynamic,4101,94487040,9.39312500122469,9.182741402764805,9.538070905546192,4152,False,False,94487040
dynamic,8197,188858880,10.631395998643711,10.139666400209535,10.988020803779364,8248,False,False,188858880
dynamic,16389,377602560,12.705874993116595,12.455004206276499,12.862145590770524,16440,False,False,377602560
dynamic,32773,755089920,17.955291994439904,17.67472909123171,18.232762507977895,32824,False,False,755089920
dynamic-inplace,517,11911680,8.094437500403728,7.822208890866023,8.246366900857538,568,False,False,11911680
dynamic-inplace,1029,23708160,8.12458350264933,7.930124393897131,8.331029204418883,1080,False,False,23708160
dynamic-inplace,2053,47301120,8.389667003939394,8.151612487563398,8.547987506608479,2104,False,False,47301120
dynamic-inplace,4101,94487040,8.580791996791959,8.198912798252422,8.762758297962137,4152,False,False,94487040
dynamic-inplace,8197,188858880,9.144333496806212,8.859983396541793,9.30423400568543,8248,False,False,188858880
dynamic-inplace,16389,377602560,10.189021500991657,9.996433097694535,10.3328497018083,16440,False,False,377602560
dynamic-inplace,32773,755089920,12.5819995009806,12.327725302020553,12.81461279722862,32824,False,False,755089920
static,517,13086720,9.636687507736497,9.398124692961574,9.843045804882422,568,True,True,11911680
static,1029,24883200,10.016979496867862,9.782245797396172,10.11436250701081,1080,True,True,23708160
static,2053,48476160,10.43406250391854,10.01363810210023,10.654254397377372,2104,True,True,47301120
static,4101,95662080,11.699688002408948,11.224887492426205,12.08594609197462,4152,True,True,94487040
static,8197,190033920,13.796333005302586,13.610908699047286,13.996950589353219,8248,True,True,188858880
static,16389,378777600,17.570146002981346,17.194566699618008,18.338908902660478,16440,True,True,377602560
static,32773,756264960,29.746124491794035,28.65138330234913,30.393774999538437,32824,True,True,755089920
static-patched,517,13086720,8.312979502079543,8.175349707016721,8.418371100560762,568,False,False,11911680
static-patched,1029,24883200,8.418520505074412,8.329354203306139,8.568424402619712,1080,False,False,23708160
static-patched,2053,48476160,8.669958500831854,8.440654799051117,8.877917302015703,2104,False,False,47301120
static-patched,4101,95662080,8.933707998949103,8.693154495267663,9.159438106871676,4152,False,False,94487040
static-patched,8197,190033920,9.47966700186953,9.273958299309015,9.610704200167675,8248,False,False,188858880
static-patched,16389,378777600,10.432687500724569,10.146600592997856,10.767224690061994,16440,False,False,377602560
static-patched,32773,756264960,12.828541504859459,12.54688369226642,13.279354099358898,32824,False,False,755089920
