mode,b_tokens,step,gap_ms
colocated,4096,99,14.905671999997594
chunked-512,4096,0,14.968025999998247
chunked-512,4096,1,14.707430000001409
chunked-512,4096,2,14.931365000002472
chunked-512,4096,3,14.805090999999493
chunked-512,4096,4,14.956642999997882
chunked-512,4096,5,14.777659000003496
chunked-512,4096,6,27.799168999997903
chunked-512,4096,7,14.879141000001539
chunked-512,4096,8,14.965343000000075
chunked-512,4096,9,14.500492999999892
chunked-512,4096,10,14.78532399999466
chunked-512,4096,11,15.195947000002263
chunked-512,4096,12,14.966006999998172
chunked-512,4096,13,15.049341000000993
chunked-512,4096,14,14.79388300000295
chunked-512,4096,15,14.863810999997895
chunked-512,4096,16,14.765175999997382
chunked-512,4096,17,14.959499000006815
chunked-512,4096,18,14.697078999994062
chunked-512,4096,19,14.267485000004854
chunked-512,4096,20,29.611804999994717
chunked-512,4096,21,29.702255000003674
chunked-512,4096,22,30.07491299999998
chunked-512,4096,23,31.353095999996583
chunked-512,4096,24,32.73250000000161
chunked-512,4096,25,33.943855000003964
chunked-512,4096,26,35.25279999999498
chunked-512,4096,27,41.588215000004425
chunked-512,4096,28,14.213872999995658
chunked-512,4096,29,14.051145999999903
chunked-512,4096,30,14.327782000002287
chunked-512,4096,31,14.101123000003213
chunked-512,4096,32,14.422885999998414
chunked-512,4096,33,14.358258999997986
chunked-512,4096,34,14.77551499999663
chunked-512,4096,35,14.442592000001753
chunked-512,4096,36,14.615357000003826
chunked-512,4096,37,14.155117000001383
chunked-512,4096,38,14.210621999993123
chunked-512,4096,39,14.408754000001522
chunked-512,4096,40,14.192334000000528
chunked-512,4096,41,14.425033000001974
chunked-512,4096,42,14.275941000001069
chunked-512,4096,43,13.980898999996327
chunked-512,4096,44,14.202648000001261
chunked-512,4096,45,14.480188000000282
chunked-512,4096,46,14.676878999999587
chunked-512,4096,47,14.517216999998084
chunked-512,4096,48,14.206579000003217
chunked-512,4096,49,14.184563000000594
chunked-512,4096,50,14.202849000000128
chunked-512,4096,51,14.339452000001529
chunked-512,4096,52,14.078338999993889
chunked-512,4096,53,14.423980000003667
chunked-512,4096,54,14.317210999998053
chunked-512,4096,55,14.12778800000325
chunked-512,4096,56,14.655569999995066
chunked-512,4096,57,14.364772000000414
chunked-512,4096,58,14.17639200000309
chunked-512,4096,59,14.545734000002142
chunked-512,4096,60,14.273711999997829
chunked-512,4096,61,14.338557999998613
chunked-512,4096,62,14.205226000001403
chunked-512,4096,63,14.020875999996463
chunked-512,4096,64,14.196306000002323
chunked-512,4096,65,14.486243000000343
chunked-512,4096,66,14.314494000004174
chunked-512,4096,67,13.923960999996154
chunked-512,4096,68,13.960734999997726
chunked-512,4096,69,14.2003050000028
chunked-512,4096,70,14.379490999999689
chunked-512,4096,71,14.344815999997707
chunked-512,4096,72,14.29034899999948
chunked-512,4096,73,14.352614999999957
chunked-512,4096,74,14.380045000002895
chunked-512,4096,75,14.289812999997764
chunked-512,4096,76,14.221982000002242
chunked-512,4096,77,14.408445000000825
chunked-512,4096,78,14.4348939999972
chunked-512,4096,79,14.296696999998915
chunked-512,4096,80,14.815624000000582
chunked-512,4096,81,14.59213700000106
chunked-512,4096,82,14.39784500000485
chunked-512,4096,83,16.23886199999447
chunked-512,4096,84,14.864879000000997
chunked-512,4096,85,15.814621000004081
chunked-512,4096,86,14.767065999997442
chunked-512,4096,87,14.126713999999652
chunked-512,4096,88,13.799620000000345
chunked-512,4096,89,13.918592999999646
chunked-512,4096,90,13.768724000001953
chunked-512,4096,91,14.035582999994745
chunked-512,4096,92,13.79651700000295
chunked-512,4096,93,13.998405999998909
chunked-512,4096,94,14.09877700000095
chunked-512,4096,95,14.230439999998623
chunked-512,4096,96,14.07203100000487
chunked-512,4096,97,14.5387799999952
chunked-512,4096,98,14.406376000003718
chunked-512,4096,99,14.088144999995222
chunked-2048,4096,0,14.651611000005005
chunked-2048,4096,1,14.601878000000568
chunked-2048,4096,2,14.168737999995074
chunked-2048,4096,3,14.068663000003312
chunked-2048,4096,4,14.118684999999687
chunked-2048,4096,5,13.950844999996548
chunked-2048,4096,6,14.164908000005028
chunked-2048,4096,7,14.11993499999653
chunked-2048,4096,8,14.039445000001649
chunked-2048,4096,9,14.1227769999972
chunked-2048,4096,10,14.085763000004192
chunked-2048,4096,11,14.163806999995643
chunked-2048,4096,12,14.11371000000372
chunked-2048,4096,13,14.157216000000972
chunked-2048,4096,14,14.395604000000617
chunked-2048,4096,15,14.561918999994816
chunked-2048,4096,16,14.24731000000179
chunked-2048,4096,17,14.615624999997578
chunked-2048,4096,18,14.631874000002654
chunked-2048,4096,19,14.386579000003508
chunked-2048,4096,20,65.0564759999952
chunked-2048,4096,21,100.7294200000004
chunked-2048,4096,22,16.058325999999568
chunked-2048,4096,23,15.168654000000004
chunked-2048,4096,24,15.635965999997836
chunked-2048,4096,25,15.976573000003214
chunked-2048,4096,26,15.515251000003616
chunked-2048,4096,27,14.692262999993488
chunked-2048,4096,28,14.656294000005232
chunked-2048,4096,29,14.676181999995208
chunked-2048,4096,30,14.725424000005205
chunked-2048,4096,31,14.46758099999812
chunked-2048,4096,32,15.430357999996147
chunked-2048,4096,33,15.040021000004344
chunked-2048,4096,34,15.391639999997153
chunked-2048,4096,35,14.88485600000189
chunked-2048,4096,36,14.634805999996559
chunked-2048,4096,37,15.836629000006042
chunked-2048,4096,38,15.17953799999816
chunked-2048,4096,39,14.924718999999698
chunked-2048,4096,40,16.293546999996522
chunked-2048,4096,41,15.346159999999998
chunked-2048,4096,42,15.519218000001445
chunked-2048,4096,43,17.029345000004525
chunked-2048,4096,44,15.071324999993863
